Listing Price,Bed,Bath,Neighborhood,Latitude,Longitude,Address
65000000,5,8,Upper East Side,40.768590,-73.969738,New York Ny 10065
65000000,5,6,Tribeca,40.722904,-74.010791,70 Vestry Street
52000000,4,4,Midtown,40.765390,-73.978960,One57 157 West 57th Street
59500000,8,9,Greenwich Village,40.733899,-73.996289,11 13 West 10th Street
59500000,8,9,Greenwich Village,40.733899,-73.996289,11 13 West 10th Street
59000000,4,5,Lincoln Square,40.769471,-73.980905,15 CPW 15 Central Park West
58900000,4,4,Midtown,40.764574,-73.973677,The Plaza Residences 1 Central Park South
82000000,6,8,Midtown East,40.760826,-73.971495,432 Park Avenue
50000000,5,6,Chelsea,40.751696,-74.003985,West 28th Street Apt#ph37
50750000,4,4,Midtown,40.761150,-73.977525,53 West 53rd Street
120000000,7,10,Upper East Side,40.767763,-73.970467,Fifth Avenue
96000000,7,10,Upper East Side,40.767763,-73.970467,Fifth Avenue
57000000,5,7,Upper East Side,40.765145,-73.972364,795 Fifth Avenue
86000000,7,8,Upper East Side,40.764506,-73.972840,781 Fifth Avenue
70000000,5,5,Upper East Side,40.765145,-73.972364,795 Fifth Avenue
65000000,4,4,Midtown East,40.758589,-73.971573,One Hundred East Fifty Third Street By Foster + Partners
58500000,4,7,Nolita,40.724794,-73.995519,293 Lafayette Street
78000000,7,8,Upper East Side,40.764506,-73.972840,781 Fifth Avenue
70000000,5,5,Upper East Side,40.765145,-73.972364,795 Fifth Avenue
59000000,6,5,Lincoln Square,40.776879,-73.982056,145 Central Park West Ph26c
57000000,5,7,Upper East Side,40.765145,-73.972364,795 Fifth Avenue
55000000,5,6,Tribeca,40.723050,-74.009120,443 Greenwich Street Ph A
70000000,5,5,Upper East Side,40.765145,-73.972364,795 Fifth Avenue Apt 30/31
